"","X0DP1","X0DP2","X0DP3","X1DP1","X1DP2","X1DP3","X3DP1","X3DP2","X3DP3","X7DP1","X7DP2","X7DP3","X0DA1","X0DA2","X0DA3","X1DA1","X1DA2","X1DA3","X3DA1","X3DA2","X3DA3","X7DA1","X7DA2","X7DA3","PC1","PC2","PC3","pc1.change","pc2.change"
"24.399/1697.97620606634",3e+05,350000,250000,704883,260496,775592,878958,632894,415227,1002870,885459,960263,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,-0.121750107190461,0.145160091125985,-0.0253223920635429,"DOWN","UP"
"26.581/1777.35381926746",550615,650000,786860,1989596,1757931,2195395,1782106,1846077,2262328,2061565,2033929,2285935,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,275307.5,-0.132067545535674,0.133447601486926,-0.00945411624758219,"DOWN","UP"
"17.155/1451.32066390526",1611043,1084870,2518409,2623890,2768751,3952056,5462288,4351520,4109421,5740711,4540543,4607613,4113585,2582010,7076126,4903194,5074761,7392265,7267492,7500542,7376298,6588837,7600349,6227921,0.052176363620024,0.321763067434099,0.167573884460369,"none","UP"
"18.073/1481.44580246193",175000,175000,175000,471264,433041,350000,912087,465267,5e+05,621635,631999,526494,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,-0.0874292751687248,0.241737569353356,-0.0362195516532474,"none","UP"
"18.481/1494.83475293157",270565,270565,270565,644410,648282,826297,1133589,998434,541130,7e+05,550788,659143,270565,270565,270565,270565,270565,270565,270565,270565,270565,270565,270565,270565,-0.08115630942339,0.193408964329036,-0.0229226760811774,"none","UP"
"23.476/1665.4333175513",271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,819283,565697,542551,949701,596731,853221,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,271275.5,-0.059485779168278,0.268577862180818,-0.072898267879112,"none","UP"
"23.746/1674.95290574097",523257,523257,523257,1255089,1153286,1304985,1314335,1201600,1046514,1524171,1098025,1652030,523257,523257,523257,523257,523257,523257,523257,523257,523257,523257,523257,523257,-0.0783560874875861,0.202122616892207,-0.0332363500353533,"none","UP"
"24.301/1694.52094813084",150000,150000,150000,150000,150000,150000,450000,450000,3e+05,650000,6e+05,821387,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,-0.0670265102823149,0.312206209362497,-0.0932082913533569,"none","UP"
"24.592/1704.9370130343",371380,371380,371380,927423,1096370,1041791,1000687,1169032,742760,1297163,1461055,1215001,371380,371380,371380,371380,371380,371380,371380,371380,371380,371380,371380,371380,-0.0858348506569832,0.222877392577925,-0.0353061129524736,"none","UP"
"26.436/1771.85611301245",144251,144251,144251,288502,481319,4e+05,535410,3e+05,444689,472953,518328,833786,144251,144251,144251,144251,144251,144251,144251,144251,144251,144251,144251,144251,-0.0877220097280197,0.252319309956991,-0.0512886931826651,"none","UP"
"30.206/1915.20019180053",218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,642319,714578,641539,760023,437381,666250,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,218690.5,-0.062520013452061,0.267357760822744,-0.0736911563742269,"none","UP"
